"marketplace","brand","order_id","sku","invoice_amount","settlement","settlement_date","status","payout_reference","currency"
"Amazon","Maniac","AMZ-5001","MNC-BLK-TSHIRT-S","1499","1325","2026-03-02","delivered","UTR-AMZ-5001","INR"
"Amazon","Maniac","AMZ-5001","MNC-BLU-JEANS-32","2299","2010","2026-03-02","delivered","UTR-AMZ-5001","INR"
"Amazon","Jumpcuts","AMZ-5002","JPC-OVERSHIRT-M","1899","0","2026-03-03","rto","UTR-AMZ-5002","INR"
"Amazon","Jumpcuts","AMZ-5003","JPC-CARGO-30","2099","0","2026-03-04","rtv","UTR-AMZ-5003","INR"
"Amazon","Maniac","AMZ-5004","MNC-GRN-POLO-L","1299","0","2026-03-05","not_delivered","UTR-AMZ-5004","INR"
"Amazon","Maniac","AMZ-5005","MNC-WHT-SHIRT-M","1699","1510","2026-03-06","delivered","UTR-AMZ-5005","INR"
"Amazon","Jumpcuts","AMZ-5006","JPC-BLK-JOGGER-L","1599","0","2026-03-07","rto","UTR-AMZ-5006","INR"
"Amazon","Jumpcuts","AMZ-5007","JPC-DNM-JACKET-M","2799","2440","2026-03-08","delivered","UTR-AMZ-5007","INR"
"Amazon","Maniac","AMZ-5008","MNC-RED-HOODIE-XL","2499","0","2026-03-09","rtv","UTR-AMZ-5008","INR"
"Amazon","Jumpcuts","AMZ-5009","JPC-CHK-SHIRT-L","1399","1220","2026-03-10","delivered","UTR-AMZ-5009","INR"
"Amazon","Maniac","AMZ-5010","MNC-BEG-CHINO-34","1999","0","2026-03-11","not_delivered","UTR-AMZ-5010","INR"
"Amazon","Maniac","AMZ-5011","MNC-NVY-TSHIRT-M","999","860","2026-03-12","delivered","UTR-AMZ-5011","INR"
